"","ID","VILLAGE","HHTYPE","GENDERHH","AGEHH","OCCUHH","ADULTS","CHILDREN","MATOKE","MAIZE","BEANS","BANANA","CASSAVA","COFFEE","LANDAREA","LABOR","INTERCROP","DECISIONS","SELLBEANS","BEANSPLANTED_LR","BEANSPLANTED_SR","BEANSHARVESTED_LR","BEANSHARVESTED_SR"
"36",36,"Lwala","Male headed one wife","male","20 - 30","Farmer",2,2,"No","Yes","Yes","No","Yes","No",0.375,"Uses neither hired or exchange labor","Maize","Female farmer only","No",2,2,14,20
"37",37,"Lwala","Female headed, no husband","female","31 - 40","Farmer",2,3,"Yes","Yes","Yes","No","Yes","Yes",1.25,"Uses neither hired or exchange labor","Maize","Female farmer only","No",2.5,2,11.5,4.5
"38",38,"Lwala","Male headed one wife","male","20 - 30","Farmer",5,2,"Yes","Yes","Yes","Yes","Yes","Yes",10,"Uses hired labor","Maize","Both male and female farmer equally","No",NA,3,NA,NA
"39",39,"Lwala","Female headed absentee husband","female","31 - 40","Trader",3,2,"No","Yes","Yes","No","Yes","No",1.25,"Uses both hired and exchange labor","Cassava","Female farmer only","Yes",0,8,0,18
"40",40,"Lwala","Female headed absentee husband","female","Unknown","Shop attendant",2,4,"Yes","Yes","Yes","No","Yes","Yes",4.25,"Uses neither hired or exchange labor","2 or more crops","Female farmer only","No",0,0,0,0
"41",41,"Lwala","Female headed, no husband","female","41 - 50","Farmer",2,3,"No","No","Yes","No","Yes","No",0.375,"Uses neither hired or exchange labor","Cassava","Female farmer only","No",0,4,0,15
"42",42,"Lwala","Male headed more than one wife","male","20 - 30","Farmer",3,3,"No","Yes","Yes","No","Yes","Yes",1.25,"Uses neither hired or exchange labor","2 or more crops","Female farmer only","No",1.5,0,4,0
"43",43,"Lwala","Male headed one wife","male","51 - 60","Farmer",4,2,"Yes","No","Yes","No","Yes","Yes",0.75,"Uses neither hired or exchange labor","Cassava","Both male and female farmer equally","No",2,0,7,0
"44",44,"Lwala","Male headed one wife","male","31 - 40","Pitsawer",2,3,"Yes","No","Yes","No","Yes","Yes",6.5,"Uses both hired and exchange labor","2 or more crops","Female farmer only","No",5,0,9,0
"45",45,"Lwala","Male headed one wife","male","61+","Farmer",2,2,"Yes","Yes","Yes","Yes","Yes","Yes",0.75,"Uses neither hired or exchange labor","Other","Both male and female farmer equally","No",2.5,0,4,0
"46",46,"Lwala","Male headed one wife","male","41 - 50","Fisherman",4,4,"Yes","Yes","Yes","Yes","Yes","Yes",2,"Uses neither hired or exchange labor","Cassava","Female farmer only","No",2,0,8,0
"47",47,"Lwala","Male headed one wife","male","51 - 60","Farmer",2,2,"Yes","Yes","Yes","No","Yes","Yes",1.25,"Uses neither hired or exchange labor","2 or more crops","Male farmer, consults female farmer","Yes",4,0,28,0
"48",48,"Lwala","Male headed one wife","male","20 - 30","Farmer",2,0,"Yes","Yes","Yes","No","Yes","Yes",0.375,"Uses neither hired or exchange labor","Cassava","Female farmer only","Yes",0,8,0,100
"49",49,"Lwala","Male headed one wife","male","61+","Farmer",3,2,"No","No","Yes","No","Yes","Yes",1.25,"Uses neither hired or exchange labor","Cassava","Female farmer only","No",0.5,0.5,2.5,2
"50",50,"Lwala","Female headed absentee husband","female","31 - 40","Fisherman",3,1,"Yes","Yes","Yes","No","Yes","Yes",2,"Uses neither hired or exchange labor","Bananas","Female farmer only","No",0,2,0,5
